codigo;nombre;codigo_departamento
5001;MEDELLIN;5
5042;SANTA FE DE ANTIOQUIA;5
5088;BELLO;5
5129;CALDAS;5
5145;CARAMANTA;5
5148;CARMEN DE VIBORAL;5
5154;CAUCASIA;5
5234;DABEIBA;5
5266;ENVIGADO;5
5308;GIRARDOTA;5
5360;ITAGUI;5
5440;MARINILLA;5
5579;PUERTO BERRIO;5
5615;RIONEGRO;5
5670;SAN ROQUE;5
5674;SAN VICENTE;5
5697;SANTUARIO;5
8001;BARRANQUILLA;8
8296;GALAPA;8
8758;SOLEDAD;8
11001;BOGOTA;11
13001;CARTAGENA;13
15001;TUNJA;15
15759;SOGAMOSO;15
15810;TIPACOQUE;15
17001;MANIZALES;17
17486;NEIRA;17
17873;VILLAMARIA;17
18001;FLORENCIA;18
18256;EL PAUJIL;18
19001;POPAYAN;19
20001;VALLEDUPAR;20
20013;AGUSTIN CODAZZI;20
20400;LA JAGUA DE IBIRICO;20
23001;MONTERIA;23
25286;FUNZA;25
25740;SIBATE;25
25899;ZIPAQUIRA;25
41001;NEIVA;41
41885;YAGUARA;41
47001;SANTA MARTA;47
47053;ARACATACA;47
47675;SALAMINA;47
50001;VILLAVICENCIO;50
50006;ACACIAS;50
52227;CUMBAL;52
52317;GUACHUCAL;52
52356;IPIALES;52
52378;LA CRUZ;52
54001;CUCUTA;54
54874;VILLA DEL ROSARIO;54
66001;PEREIRA;66
66170;DOSQUEBRADAS;66
68001;BUCARAMANGA;68
68081;BARRANCABERMEJA;68
70771;SUCRE;70
73001;IBAGUE;73
76001;CALI;76
76020;ALCALA;76
76036;ANDALUCIA;76
76100;BOLIVAR;76
76109;BUENAVENTURA;76
76111;BUGA;76
76130;CANDELARIA;76
76147;CARTAGO;76
76233;DAGUA;76
76318;GUACARI;76
76364;JAMUNDI;76
76520;PALMIRA;76
76563;PRADERA;76
76834;TULUA;76
76892;YUMBO;76
86001;MOCOA;76
99001;PUERTO CARREÑO;76
